1,221,221,221,221,221,221,221,221,221,221,221,221,221,221
2,97,97,97,97,97,97,97,97,97,97,97,97,97,97
3,82,82,82,82,82,82,82,82,82,82,82,82,82,82
4,112,112,112,112,112,112,112,112,112,112,112,112,112,112
5,150,150,150,150,150,150,150,150,150,150,150,150,150,150
6,101,101,101,101,101,101,101,101,101,101,101,101,101,101
7,125,125,125,125,125,125,125,125,125,125,125,125,125,125
8,61,61,61,61,61,61,61,61,61,61,61,61,61,61
9,229,229,229,229,229,229,229,229,229,229,229,229,229,229
10,94,94,94,94,94,94,94,94,94,94,94,94,94,94
11,82,82,82,82,82,82,82,82,82,82,82,82,82,82
12,58,58,58,58,58,58,58,58,58,58,58,58,58,58
13,241,241,241,241,241,241,241,241,241,241,241,241,241,241
14,52,52,52,52,52,52,52,52,52,52,52,52,52,52
15,145,145,145,145,145,145,145,145,145,145,145,145,145,145
16,44,44,44,44,44,44,44,44,44,44,44,44,44,44
17,92,92,92,92,92,92,92,92,92,92,92,92,92,92
18,72,72,72,72,72,72,72,72,72,72,72,72,72,72
19,151,151,151,151,151,151,151,151,151,151,151,151,151,151
20,147,147,147,147,147,147,147,147,147,147,147,147,147,147
21,89,89,89,89,89,89,89,89,89,89,89,89,89,89
22,113,113,113,113,113,113,113,113,113,113,113,113,113,113
23,16,16,16,16,16,16,16,16,16,16,16,16,16,16
24,84,84,84,84,84,84,84,84,84,84,84,84,84,84
25,123,123,123,123,123,123,123,123,123,123,123,123,123,123
26,75,75,75,75,75,75,75,75,75,75,75,75,75,75
27,85,85,85,85,85,85,85,85,85,85,85,85,85,85
28,69,69,69,69,69,69,69,69,69,69,69,69,69,69
29,119,119,119,119,119,119,119,119,119,119,119,119,119,119
30,47,47,47,47,47,47,47,47,47,47,47,47,47,47
31,355,355,355,355,355,355,355,355,355,355,355,355,355,355
32,307,307,307,307,307,307,307,307,307,307,307,307,307,307
33,69,69,69,69,69,69,69,69,69,69,69,69,69,69
34,402,402,402,402,402,402,402,402,402,402,402,402,402,402
35,153,153,153,153,153,153,153,153,153,153,153,153,153,153
36,64,64,64,64,64,64,64,64,64,64,64,64,64,64
37,222,222,222,222,222,222,222,222,222,222,222,222,222,222
38,91,91,91,91,91,91,91,91,91,91,91,91,91,91
39,226,226,226,226,226,226,226,226,226,226,226,226,226,226
40,85,85,85,85,85,85,85,85,85,85,85,85,85,85
41,193,193,193,193,193,193,193,193,193,193,193,193,193,193
42,81,81,81,81,81,81,81,81,81,81,81,81,81,81
43,77,77,77,77,77,77,77,77,77,77,77,77,77,77
44,63,63,63,63,63,63,63,63,63,63,63,63,63,63
45,36,36,36,36,36,36,36,36,36,36,36,36,36,36
46,169,169,169,169,169,169,169,169,169,169,169,169,169,169
47,132,132,132,132,132,132,132,132,132,132,132,132,132,132
48,419,419,419,419,419,419,419,419,419,419,419,419,419,419
49,434,434,434,434,434,434,434,434,434,434,434,434,434,434
50,67,67,67,67,67,67,67,67,67,67,67,67,67,67
51,57,57,57,57,57,57,57,57,57,57,57,57,57,57
52,67,67,67,67,67,67,67,67,67,67,67,67,67,67
53,125,125,125,125,125,125,125,125,125,125,125,125,125,125
54,323,323,323,323,323,323,323,323,323,323,323,323,323,323
55,347,347,347,347,347,347,347,347,347,347,347,347,347,347
56,70,70,70,70,70,70,70,70,70,70,70,70,70,70
57,278,278,278,278,278,278,278,278,278,278,278,278,278,278
58,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636
59,177,177,177,177,177,177,177,177,177,177,177,177,177,177
60,163,163,163,163,163,163,163,163,163,163,163,163,163,163
61,91,91,91,91,91,91,91,91,91,91,91,91,91,91
62,80,80,80,80,80,80,80,80,80,80,80,80,80,80
63,207,207,207,207,207,207,207,207,207,207,207,207,207,207
64,135,135,135,135,135,135,135,135,135,135,135,135,135,135
65,376,376,376,376,376,376,376,376,376,376,376,376,376,376
66,78,78,78,78,78,78,78,78,78,78,78,78,78,78
67,62,62,62,62,62,62,62,62,62,62,62,62,62,62
68,56,56,56,56,56,56,56,56,56,56,56,56,56,56
69,108,108,108,108,108,108,108,108,108,108,108,108,108,108
70,61,61,61,61,61,61,61,61,61,61,61,61,61,61
71,154,154,154,154,154,154,154,154,154,154,154,154,154,154
72,494,494,494,494,494,494,494,494,494,494,494,494,494,494
73,100,100,100,100,100,100,100,100,100,100,100,100,100,100
74,117,117,117,117,117,117,117,117,117,117,117,117,117,117
75,87,87,87,87,87,87,87,87,87,87,87,87,87,87
76,42,42,42,42,42,42,42,42,42,42,42,42,42,42
77,123,123,123,123,123,123,123,123,123,123,123,123,123,123
78,52,52,52,52,52,52,52,52,52,52,52,52,52,52
79,113,113,113,113,113,113,113,113,113,113,113,113,113,113
80,68,68,68,68,68,68,68,68,68,68,68,68,68,68
81,88,88,88,88,88,88,88,88,88,88,88,88,88,88
82,103,103,103,103,103,103,103,103,103,103,103,103,103,103
83,133,133,133,133,133,133,133,133,133,133,133,133,133,133
84,192,192,192,192,192,192,192,192,192,192,192,192,192,192
85,72,72,72,72,72,72,72,72,72,72,72,72,72,72
86,130,130,130,130,130,130,130,130,130,130,130,130,130,130
87,77,77,77,77,77,77,77,77,77,77,77,77,77,77
88,483,483,483,483,483,483,483,483,483,483,483,483,483,483
89,51,51,51,51,51,51,51,51,51,51,51,51,51,51
90,225,225,225,225,225,225,225,225,225,225,225,225,225,225
91,96,96,96,96,96,96,96,96,96,96,96,96,96,96
92,136,136,136,136,136,136,136,136,136,136,136,136,136,136
93,147,147,147,147,147,147,147,147,147,147,147,147,147,147
94,89,89,89,89,89,89,89,89,89,89,89,89,89,89
95,99,99,99,99,99,99,99,99,99,99,99,99,99,99
96,131,131,131,131,131,131,131,131,131,131,131,131,131,131
97,172,172,172,172,172,172,172,172,172,172,172,172,172,172
98,79,79,79,79,79,79,79,79,79,79,79,79,79,79
99,61,61,61,61,61,61,61,61,61,61,61,61,61,61
100,370,370,370,370,370,370,370,370,370,370,370,370,370,370
101,131,131,131,131,131,131,131,131,131,131,131,131,131,131
102,126,126,126,126,126,126,126,126,126,126,126,126,126,126
103,64,64,64,64,64,64,64,64,64,64,64,64,64,64
104,99,99,99,99,99,99,99,99,99,99,99,99,99,99
105,95,95,95,95,95,95,95,95,95,95,95,95,95,95
106,63,63,63,63,63,63,63,63,63,63,63,63,63,63
107,93,93,93,93,93,93,93,93,93,93,93,93,93,93
108,97,97,97,97,97,97,97,97,97,97,97,97,97,97
109,108,108,108,108,108,108,108,108,108,108,108,108,108,108
110,137,137,137,137,137,137,137,137,137,137,137,137,137,137
111,71,71,71,71,71,71,71,71,71,71,71,71,71,71
112,126,126,126,126,126,126,126,126,126,126,126,126,126,126
113,138,138,138,138,138,138,138,138,138,138,138,138,138,138
114,574,574,574,574,574,574,574,574,574,574,574,574,574,574
115,400,400,400,400,400,400,400,400,400,400,400,400,400,400
116,439,439,439,439,439,439,439,439,439,439,439,439,439,439
117,147,147,147,147,147,147,147,147,147,147,147,147,147,147
118,55,55,55,55,55,55,55,55,55,55,55,55,55,55
119,51,51,51,51,51,51,51,51,51,51,51,51,51,51
120,277,277,277,277,277,277,277,277,277,277,277,277,277,277
121,52,52,52,52,52,52,52,52,52,52,52,52,52,52
122,60,60,60,60,60,60,60,60,60,60,60,60,60,60
123,86,86,86,86,86,86,86,86,86,86,86,86,86,86
124,390,390,390,390,390,390,390,390,390,390,390,390,390,390
125,37,37,37,37,37,37,37,37,37,37,37,37,37,37
126,109,109,109,109,109,109,109,109,109,109,109,109,109,109
127,63,63,63,63,63,63,63,63,63,63,63,63,63,63
128,52,52,52,52,52,52,52,52,52,52,52,52,52,52
129,207,207,207,207,207,207,207,207,207,207,207,207,207,207
130,299,299,299,299,299,299,299,299,299,299,299,299,299,299
131,57,57,57,57,57,57,57,57,57,57,57,57,57,57
132,62,62,62,62,62,62,62,62,62,62,62,62,62,62
133,94,94,94,94,94,94,94,94,94,94,94,94,94,94
134,392,392,392,392,392,392,392,392,392,392,392,392,392,392
135,152,152,152,152,152,152,152,152,152,152,152,152,152,152
136,97,97,97,97,97,97,97,97,97,97,97,97,97,97
137,84,84,84,84,84,84,84,84,84,84,84,84,84,84
138,243,243,243,243,243,243,243,243,243,243,243,243,243,243
139,75,75,75,75,75,75,75,75,75,75,75,75,75,75
140,293,293,293,293,293,293,293,293,293,293,293,293,293,293
141,45,45,45,45,45,45,45,45,45,45,45,45,45,45
142,335,335,335,335,335,335,335,335,335,335,335,335,335,335
143,121,121,121,121,121,121,121,121,121,121,121,121,121,121
144,106,106,106,106,106,106,106,106,106,106,106,106,106,106
145,65,65,65,65,65,65,65,65,65,65,65,65,65,65
146,530,530,530,530,530,530,530,530,530,530,530,530,530,530
147,122,122,122,122,122,122,122,122,122,122,122,122,122,122
148,74,74,74,74,74,74,74,74,74,74,74,74,74,74
149,184,184,184,184,184,184,184,184,184,184,184,184,184,184
150,66,66,66,66,66,66,66,66,66,66,66,66,66,66
151,90,90,90,90,90,90,90,90,90,90,90,90,90,90
